Mig instance,Batch size,Workload Number,Throughput,Latency
1,1,1,91.24194969,0.01234698296
2,1,1,96.99199299,0.01149606705
3,1,1,91.22695566,0.01170277596
4,1,1,91.37715306,0.01442790031
7,1,1,93.87522497,0.01177835464
1,2,1,157.2497754,0.01282715797
2,2,1,186.6040741,0.0119562149
3,2,1,184.5005041,0.01442408562
4,2,1,185.8887482,0.01149129868
7,2,1,183.7694119,0.01252007484
1,4,1,198.072452,0.02027535439
2,4,1,355.287424,0.01156711578
3,4,1,380.197199,0.0109038353
4,4,1,383.2745735,0.01170659065
7,4,1,379.7626709,0.01175165176
1,8,1,246.5901169,0.03258705139
2,8,1,455.5579936,0.0176897049
3,8,1,684.943441,0.01200795174
4,8,1,759.6113485,0.01127004623
7,8,1,768.1699692,0.01132535934
1,16,1,256.5486313,0.06248235703
2,16,1,488.0717329,0.03292584419
3,16,1,760.2093471,0.02115011215
4,16,1,914.309072,0.0176012516
7,16,1,1329.936595,0.01420140266
1,32,1,281.5571512,0.1137912273
2,32,1,537.7042062,0.05965805054
3,32,1,882.7634905,0.03637456894
4,32,1,1011.194937,0.03176927567
7,32,1,1607.800166,0.02001714706
