Mig instance,Batch size,Workload Number,Throughput,Latency
1,2,1,651.5538793,0.003860473633
2,2,1,676.0144409,0.003794193268
3,2,1,667.3756051,0.003719568253
4,2,1,681.7154883,0.003801345825
7,2,1,667.4737225,0.003148794174
1,4,1,1112.599074,0.003920078278
2,4,1,1348.811062,0.003829956055
3,4,1,1314.724852,0.003901481628
4,4,1,1308.288964,0.00386762619
7,4,1,1370.551646,0.003841876984
1,8,1,1191.785846,0.006883859634
2,8,1,2277.514409,0.003897190094
3,8,1,2693.770051,0.003798723221
4,8,1,2623.897218,0.003832101822
7,8,1,2604.2351,0.004332780838
1,16,1,1250.144683,0.01293945313
2,16,1,2419.920903,0.006784439087
3,16,1,3902.235728,0.004237174988
4,16,1,4630.873971,0.004158973694
7,16,1,5432.686721,0.004093647003
1,32,1,1272.599212,0.02528858185
2,32,1,2506.024421,0.01292324066
3,32,1,4124.918869,0.007841348648
4,32,1,4912.918554,0.006626605988
7,32,1,7898.644656,0.004275560379
