Mig instance,Batch size,Workload Number,Throughput,Latency
1,1,1,194.0606271,0.1940606271
2,1,1,370.2446121,0.3702446121
3,1,1,600.4653498,0.6004653498
4,1,1,692.7053929,0.6927053929
7,1,1,999.5607161,0.9995607161
1,2,1,236.4043451,0.2364043451
2,2,1,506.8248631,0.5068248631
3,2,1,847.3928469,0.8473928469
4,2,1,986.6758891,0.9866758891
7,2,1,1424.819767,1.424819767
1,4,1,322.6518357,0.3226518357
2,4,1,641.9514141,0.6419514141
3,4,1,1039.623397,1.039623397
4,4,1,1346.484766,1.346484766
7,4,1,2005.531356,2.005531356
1,8,1,404.9690418,0.4049690418
2,8,1,796.0214651,0.7960214651
3,8,1,1281.771178,1.281771178
4,8,1,1532.854593,1.532854593
7,8,1,2536.303236,2.536303236
1,16,1,460.9022379,0.4609022379
2,16,1,912.5619706,0.9125619706
3,16,1,1424.98016,1.42498016
4,16,1,1770.058199,1.770058199
7,16,1,2902.816708,2.902816708
1,32,1,497.7866504,0.4977866504
2,32,1,971.5944709,0.9715944709
3,32,1,1585.812365,1.585812365
4,32,1,1901.621291,1.901621291
7,32,1,3213.047548,3.213047548
