Mig instance,Batch size,Workload Number,Throughput,Latency
2,2,1,3.050321826,0.6625006199
3,2,1,3.894565178,0.5209898949
4,2,1,4.356614781,0.4608991146
7,2,1,5.16780096,0.3920171261
2,4,1,3.542969396,1.136922598
3,4,1,4.547648981,0.884427309
4,4,1,5.344792431,0.7547562122
7,4,1,6.670147116,0.6117651463
2,8,1,3.719223443,2.160346985
3,8,1,4.9471606,1.620956659
4,8,1,5.919171875,1.360811949
7,8,1,7.559494851,1.071289063
2,16,1,3.928913707,4.091480494
3,16,1,5.238464866,3.078962088
4,16,1,6.181992749,2.604287863
7,16,1,8.185218898,1.975081682
2,32,1,4.029084251,7.974669218
3,32,1,5.377186732,5.974705696
4,32,1,6.470777255,4.973064423
7,32,1,8.398491828,3.850672722
